n,s,trial,n_compares,time_taken_ms
1000,6,10,8773,47
1000,6,11,8749,47
1000,6,12,8751,47
1000,6,13,8806,47
1000,6,14,8739,47
1000,6,15,8780,46
1000,6,16,8822,47
1000,6,17,8735,47
1000,6,18,8777,47
1000,6,19,8759,47
1000,6,20,8823,47
1000,6,21,8759,47
1000,6,22,8768,47
1000,6,23,8783,48
1000,6,24,8723,47
1000,6,25,8790,47
1000,6,26,8786,47
1000,6,27,8762,47
1000,6,28,8791,47
1000,6,29,8776,46
1000,7,0,8798,46
1000,7,1,8793,45
1000,7,2,8784,46
1000,7,3,8766,45
1000,7,4,8814,45
1000,7,5,8804,45
1000,7,6,8819,45
1000,7,7,8849,46
1000,7,8,8787,45
1000,7,9,8838,45
1000,7,10,8831,46
1000,7,11,8810,46
1000,7,12,8817,45
1000,7,13,8865,45
1000,7,14,8786,45
1000,7,15,8819,45
1000,7,16,8872,45
1000,7,17,8785,45
1000,7,18,8817,45
1000,7,19,8817,45
1000,7,20,8858,45
1000,7,21,8812,45
1000,7,22,8838,45
1000,7,23,8845,45
1000,7,24,8766,45
1000,7,25,8826,45
1000,7,26,8841,45
1000,7,27,8827,45
1000,7,28,8856,49
1000,7,29,8805,45
1000,8,0,9104,39
1000,8,1,9138,38
1000,8,2,9136,38
1000,8,3,9075,38
1000,8,4,9180,38
1000,8,5,9115,38
1000,8,6,9122,37
1000,8,7,9178,38
1000,8,8,9148,38
1000,8,9,9145,38
1000,8,10,9160,38
1000,8,11,9184,38
1000,8,12,9184,38
1000,8,13,9156,38
1000,8,14,9160,38
1000,8,15,9177,38
1000,8,16,9168,38
1000,8,17,9116,41
1000,8,18,9148,37
1000,8,19,9126,38
1000,8,20,9175,37
1000,8,21,9192,38
1000,8,22,9169,37
1000,8,23,9222,38
1000,8,24,9136,37
1000,8,25,9156,38
1000,8,26,9101,37
1000,8,27,9147,37
1000,8,28,9148,38
1000,8,29,9204,37
1000,9,0,9104,38
1000,9,1,9138,37
1000,9,2,9136,38
1000,9,3,9075,38
1000,9,4,9180,38
1000,9,5,9115,38
1000,9,6,9122,45
1000,9,7,9178,38
1000,9,8,9148,38
1000,9,9,9145,37
1000,9,10,9160,38
1000,9,11,9184,38
1000,9,12,9184,38
1000,9,13,9156,38
1000,9,14,9160,38
1000,9,15,9177,38
1000,9,16,9168,37
1000,9,17,9116,38
1000,9,18,9148,38
1000,9,19,9126,38
1000,9,20,9175,37
1000,9,21,9192,38
1000,9,22,9169,37
1000,9,23,9222,38
1000,9,24,9136,38
1000,9,25,9156,38
1000,9,26,9101,41
1000,9,27,9147,38
1000,9,28,9148,38
1000,9,29,9204,38
1000,10,0,9104,38
1000,10,1,9138,38
1000,10,2,9136,38
1000,10,3,9075,37
1000,10,4,9180,38
1000,10,5,9115,37
1000,10,6,9122,38
1000,10,7,9178,38
1000,10,8,9148,38
1000,10,9,9145,38
1000,10,10,9160,38
1000,10,11,9184,38
1000,10,12,9184,38
1000,10,13,9156,38
1000,10,14,9160,38
1000,10,15,9177,38
1000,10,16,9168,41
1000,10,17,9116,38
1000,10,18,9148,37
1000,10,19,9126,38
1000,10,20,9175,37
1000,10,21,9192,37
1000,10,22,9169,38
1000,10,23,9222,38
1000,10,24,9136,38
1000,10,25,9156,38
1000,10,26,9101,37
1000,10,27,9147,38
1000,10,28,9148,38
1000,10,29,9204,38
1000,11,0,9104,38
1000,11,1,9138,38
1000,11,2,9136,38
1000,11,3,9075,38
1000,11,4,9180,38
1000,11,5,9115,38
1000,11,6,9122,38
1000,11,7,9178,38
1000,11,8,9148,38
1000,11,9,9145,38
1000,11,10,9160,38
1000,11,11,9184,41
1000,11,12,9184,42
1000,11,13,9156,40
1000,11,14,9160,38
1000,11,15,9177,38
1000,11,16,9168,38
1000,11,17,9116,38
1000,11,18,9148,38
1000,11,19,9126,38
1000,11,20,9175,38
1000,11,21,9192,38
1000,11,22,9169,38
1000,11,23,9222,38
1000,11,24,9136,38
1000,11,25,9156,43
1000,11,26,9101,38
1000,11,27,9147,37
1000,11,28,9148,38
1000,11,29,9204,37
1000,12,0,9104,37
1000,12,1,9138,38
1000,12,2,9136,38
1000,12,3,9075,38
1000,12,4,9180,38
1000,12,5,9115,37
1000,12,6,9122,38
1000,12,7,9178,38
1000,12,8,9148,37
1000,12,9,9145,38
1000,12,10,9160,38
1000,12,11,9184,38
1000,12,12,9184,38
1000,12,13,9156,38
1000,12,14,9160,37
1000,12,15,9177,42
1000,12,16,9168,38
1000,12,17,9116,38
1000,12,18,9148,38
1000,12,19,9126,38
1000,12,20,9175,37
1000,12,21,9192,38
1000,12,22,9169,38
1000,12,23,9222,38
1000,12,24,9136,38
1000,12,25,9156,38
1000,12,26,9101,38
1000,12,27,9147,38
1000,12,28,9148,38
1000,12,29,9204,38
1000,13,0,9104,38
1000,13,1,9138,38
1000,13,2,9136,38
1000,13,3,9075,38
1000,13,4,9180,38
1000,13,5,9115,38
1000,13,6,9122,38
1000,13,7,9178,38
1000,13,8,9148,38
1000,13,9,9145,37
1000,13,10,9160,38
1000,13,11,9184,38
1000,13,12,9184,38
1000,13,13,9156,38
1000,13,14,9160,38
1000,13,15,9177,38
1000,13,16,9168,38
1000,13,17,9116,38
1000,13,18,9148,38
1000,13,19,9126,38
1000,13,20,9175,38
1000,13,21,9192,38
1000,13,22,9169,38
1000,13,23,9222,38
1000,13,24,9136,41
1000,13,25,9156,38
1000,13,26,9101,38
1000,13,27,9147,38
1000,13,28,9148,38
1000,13,29,9204,38
1000,14,0,9104,38
1000,14,1,9138,38
1000,14,2,9136,38
1000,14,3,9075,38
1000,14,4,9180,38
1000,14,5,9115,38
1000,14,6,9122,38
1000,14,7,9178,38
1000,14,8,9148,38
1000,14,9,9145,38
1000,14,10,9160,37
1000,14,11,9184,38
1000,14,12,9184,38
1000,14,13,9156,38
1000,14,14,9160,42
1000,14,15,9177,38
