n,s,trial,n_compares,time_taken_ms
1000,25,11,10510,475
1000,25,12,10465,467
1000,25,13,10408,466
1000,25,14,10305,467
1000,26,0,10245,466
1000,26,1,10317,465
1000,26,2,10300,465
1000,26,3,10347,466
1000,26,4,10605,468
1000,26,5,10145,465
1000,26,6,10349,467
1000,26,7,10276,466
1000,26,8,10341,466
1000,26,9,10280,471
1000,26,10,10383,466
1000,26,11,10510,468
1000,26,12,10465,466
1000,26,13,10408,467
1000,26,14,10305,467
1000,27,0,10245,466
1000,27,1,10317,466
1000,27,2,10300,465
1000,27,3,10347,464
1000,27,4,10605,466
1000,27,5,10145,465
1000,27,6,10349,466
1000,27,7,10276,466
1000,27,8,10341,466
1000,27,9,10280,464
1000,27,10,10383,467
1000,27,11,10510,468
1000,27,12,10465,469
1000,27,13,10408,466
1000,27,14,10305,467
1000,28,0,10245,464
1000,28,1,10317,466
1000,28,2,10300,465
1000,28,3,10347,466
1000,28,4,10605,468
1000,28,5,10145,465
1000,28,6,10349,466
1000,28,7,10276,466
1000,28,8,10341,465
1000,28,9,10280,465
1000,28,10,10383,467
1000,28,11,10510,467
1000,28,12,10465,466
1000,28,13,10408,466
1000,28,14,10305,467
1000,29,0,10245,467
1000,29,1,10317,467
1000,29,2,10300,466
1000,29,3,10347,465
1000,29,4,10605,467
1000,29,5,10145,468
1000,29,6,10349,469
1000,29,7,10276,473
1000,29,8,10341,466
1000,29,9,10280,465
1000,29,10,10383,477
1000,29,11,10510,476
1000,29,12,10465,466
1000,29,13,10408,465
1000,29,14,10305,466
1000,30,0,10245,469
1000,30,1,10317,468
1000,30,2,10300,477
1000,30,3,10347,469
1000,30,4,10605,471
1000,30,5,10145,465
1000,30,6,10349,467
1000,30,7,10276,470
1000,30,8,10341,467
1000,30,9,10280,466
1000,30,10,10383,510
1000,30,11,10510,469
1000,30,12,10465,467
1000,30,13,10408,466
1000,30,14,10305,466
1000,31,0,12476,400
1000,31,1,12524,403
1000,31,2,12596,401
1000,31,3,12706,401
1000,31,4,12737,407
1000,31,5,12253,398
1000,31,6,12626,412
1000,31,7,12413,400
1000,31,8,12297,399
1000,31,9,12486,399
1000,31,10,12616,401
1000,31,11,12846,402
1000,31,12,12717,405
1000,31,13,12685,406
1000,31,14,12625,409
1000,32,0,13281,377
1000,32,1,13417,376
1000,32,2,13422,378
1000,32,3,13450,376
1000,32,4,13590,376
1000,32,5,13114,375
1000,32,6,13392,384
1000,32,7,13149,408
1000,32,8,13162,403
1000,32,9,13368,386
1000,32,10,13416,382
1000,32,11,13741,384
1000,32,12,13660,388
1000,32,13,13545,378
1000,32,14,13419,378
1000,33,0,13281,378
1000,33,1,13417,376
1000,33,2,13422,380
1000,33,3,13450,384
1000,33,4,13590,392
1000,33,5,13114,400
1000,33,6,13392,382
1000,33,7,13149,376
1000,33,8,13162,375
1000,33,9,13368,375
1000,33,10,13416,377
1000,33,11,13741,408
1000,33,12,13660,382
1000,33,13,13545,399
1000,33,14,13419,394
1000,34,0,13281,387
1000,34,1,13417,385
1000,34,2,13422,380
1000,34,3,13450,379
1000,34,4,13590,397
1000,34,5,13114,377
1000,34,6,13392,386
1000,34,7,13149,387
1000,34,8,13162,387
1000,34,9,13368,395
1000,34,10,13416,378
1000,34,11,13741,383
1000,34,12,13660,396
1000,34,13,13545,401
1000,34,14,13419,423
1000,35,0,13281,408
1000,35,1,13417,388
1000,35,2,13422,393
1000,35,3,13450,385
1000,35,4,13590,377
1000,35,5,13114,386
1000,35,6,13392,388
1000,35,7,13149,383
1000,35,8,13162,375
1000,35,9,13368,387
1000,35,10,13416,388
1000,35,11,13741,379
1000,35,12,13660,388
1000,35,13,13545,390
1000,35,14,13419,384
1000,36,0,13281,391
1000,36,1,13417,376
1000,36,2,13422,390
1000,36,3,13450,376
1000,36,4,13590,377
1000,36,5,13114,385
1000,36,6,13392,381
1000,36,7,13149,375
1000,36,8,13162,395
1000,36,9,13368,392
1000,36,10,13416,382
1000,36,11,13741,379
1000,36,12,13660,399
1000,36,13,13545,378
1000,36,14,13419,395
1000,37,0,13281,405
1000,37,1,13417,380
1000,37,2,13422,376
1000,37,3,13450,376
1000,37,4,13590,380
1000,37,5,13114,374
1000,37,6,13392,402
1000,37,7,13149,376
1000,37,8,13162,391
1000,37,9,13368,376
1000,37,10,13416,386
1000,37,11,13741,402
1000,37,12,13660,391
1000,37,13,13545,377
1000,37,14,13419,386
1000,38,0,13281,391
1000,38,1,13417,384
1000,38,2,13422,385
1000,38,3,13450,376
1000,38,4,13590,378
1000,38,5,13114,377
1000,38,6,13392,377
1000,38,7,13149,386
1000,38,8,13162,400
1000,38,9,13368,384
1000,38,10,13416,377
1000,38,11,13741,387
1000,38,12,13660,389
1000,38,13,13545,395
1000,38,14,13419,409
1000,39,0,13281,385
1000,39,1,13417,376
1000,39,2,13422,381
1000,39,3,13450,377
1000,39,4,13590,396
1000,39,5,13114,389
1000,39,6,13392,390
1000,39,7,13149,376
1000,39,8,13162,375
1000,39,9,13368,397
1000,39,10,13416,387
1000,39,11,13741,378
1000,39,12,13660,381
1000,39,13,13545,377
1000,39,14,13419,386
1000,40,0,13281,390
1000,40,1,13417,376
1000,40,2,13422,387
1000,40,3,13450,398
1000,40,4,13590,381
1000,40,5,13114,388
1000,40,6,13392,410
1000,40,7,13149,375
1000,40,8,13162,383
1000,40,9,13368,380
1000,40,10,13416,377
1000,40,11,13741,378
