n,s,t,n_compares,time_taken_s
10000000,95,24,220098745,246.1656649010256
10000000,105,24,220099734,64.6443740320392
10000000,105,26,220099175,65.70951153710485
10000000,103,15,220096468,110.66181768383831
10000000,104,18,220103209,91.18030080478638
10000000,105,6,220101669,81.68350409716368
10000000,105,10,220098607,80.29730651481077
10000000,105,16,220101189,76.37038199184462
10000000,107,3,220099757,46.364596660248935
10000000,87,12,220100126,401.8336259499192
10000000,105,13,220101278,79.03084837738425
10000000,104,8,220100120,101.75306138582528
10000000,106,10,220101590,60.830820539966226
10000000,106,13,220099059,59.620775955263525
10000000,102,28,220099327,123.44612843869254
10000000,105,14,220100935,80.55531099997461
10000000,104,25,220101065,93.66480626771227
10000000,105,17,220100936,79.35965447686613
10000000,107,1,220104164,50.748713036067784
10000000,103,27,220098546,112.02531798416749
10000000,106,17,220101847,64.58322664769366
10000000,105,29,220103350,75.19502726988867
10000000,104,23,220101386,102.9740954269655
10000000,106,7,220102930,72.07475420692936
10000000,103,25,220101986,118.61580055300146
10000000,80,1,220102680,537.5264196479693
10000000,101,3,220097688,170.14022914785892
10000000,96,10,220100698,252.0013809679076
10000000,105,27,220098686,80.78617767896503
10000000,106,5,220097419,76.21903010923415
10000000,106,29,220103973,61.594302964862436
10000000,83,26,220100794,487.75811996823177
10000000,106,14,220100437,71.1973654977046
10000000,106,18,220101522,70.13389468984678
10000000,85,20,220100486,450.20470556477085
10000000,97,4,220100945,239.80999764380977
10000000,88,9,220097646,400.86755797918886
10000000,106,4,220099924,82.31322974897921
10000000,79,26,220101637,547.0979130789638
10000000,93,22,220100606,301.89636619528756
10000000,106,15,220101615,75.93272667424753
10000000,107,22,220102376,51.93578083394095
10000000,98,16,220100483,221.55371263995767
10000000,107,4,220100708,65.82961892196909
10000000,106,12,220103349,79.17287561902776
10000000,101,25,220100956,161.17640063213184
10000000,70,10,220102421,722.2456495319493
10000000,106,1,220100471,87.80768869118765
10000000,106,20,220102412,77.51387714361772
10000000,78,21,220105615,574.5988284829073
10000000,106,27,220096335,71.6297246501781
10000000,106,2,220100615,87.8300037747249
10000000,107,12,220100053,62.29430315690115
10000000,106,21,220104649,78.22904459619895
10000000,106,23,220103791,77.95663744211197
10000000,98,10,220099726,228.3928894372657
10000000,107,2,220101471,72.61754791811109
10000000,87,14,220099618,425.95249197492376
10000000,107,10,220100554,68.39149174373597
10000000,108,5,220101787,47.72733897296712
10000000,107,11,220099188,68.3311622380279
10000000,103,12,220102968,144.43505892064422
10000000,101,19,220101590,174.22339601814747
10000000,108,13,220103319,46.24770970875397
10000000,108,10,220103415,48.79570174636319
10000000,94,6,220099055,306.583333899267
10000000,107,6,220099896,76.10016771499068
10000000,105,5,220099897,117.27508082287386
10000000,88,1,220101602,420.87027789792046
10000000,108,23,220101812,45.55553463101387
10000000,107,14,220098569,71.32068836223334
10000000,105,7,220100569,118.11045892396942
10000000,107,21,220100694,67.56275331322104
10000000,99,29,220103081,215.87157743657008
10000000,105,15,220099686,114.30410353420302
10000000,90,21,220100598,379.2168539627455
10000000,103,2,220101447,157.52467165328562
10000000,108,12,220100779,54.88213854515925
10000000,107,9,220102924,79.63253270601854
10000000,107,19,220100252,73.35921149281785
10000000,106,28,220103376,90.86367547884583
10000000,99,19,220097791,225.63837852329016
10000000,107,16,220101167,78.27707169996575
10000000,99,16,220097042,228.50598405022174
10000000,108,26,220100910,53.72308924421668
10000000,109,11,220101986,44.4324515578337
10000000,106,0,220101987,111.35265425406396
10000000,109,22,220102372,40.39271975401789
10000000,66,27,220099064,807.4894542777911
10000000,108,7,220098910,66.72233437513933
10000000,108,18,220102910,61.918044321704656
10000000,108,9,220102250,66.5811267150566
10000000,109,21,220104413,45.15502457879484
10000000,101,16,220098251,196.73378548584878
10000000,81,11,220100501,551.03185093496
10000000,100,23,220098202,213.90043748775497
10000000,108,6,220102990,68.75800190027803
10000000,109,7,220099186,53.07289268122986
10000000,108,2,220099437,72.16554205492139
10000000,108,29,220098370,58.83901119278744
10000000,66,17,220099364,816.8287919899449
10000000,107,24,220099372,80.78977658692747
10000000,108,21,220099923,64.63371787127107
10000000,89,26,220100431,408.4585470389575
10000000,107,28,220100512,79.24073092127219
10000000,99,11,220097269,243.89977334905416
